name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia,Powiat
"Dywersyfikacja oraz rozszerzenie działalności firmy KATEGO Katarzyna Goluch w Regionie 1 (woj. pomorskie), w celu uodpornienia przedsiębiorstwa na niespotykane zdarzenia losowe.",POMORSKIE Gdańsk Jelitkowska 21 80-342,Nazwa: KATEGO Katarzyna Goluch<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Jelitkowska<br>Grantobiorca Nr budynku: 21<br>Grantobiorca Kod pocztowy: 80-342<br>Wartość wsparcia: 539988.3,80-342,Gdańsk,21,Jelitkowska,POMORSKIE,KATEGO Katarzyna Goluch,539988.3,Gdansk
"Zwiększenie odporności przedsiębiorstwa KONCEPT04 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie)”, w ramach Krajowego Planu Odbudowy i Zwiększania Odporności,",POMORSKIE Gdańsk Szeroka 11 80-835,Nazwa: KONCEPT04 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Szeroka<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 80-835<br>Wartość wsparcia: 297580.92,80-835,Gdańsk,11,Szeroka,POMORSKIE,KONCEPT04 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,297580.92,Gdansk
"Dywersyfikacja działalności Hotelu River Style i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowej usługi i nowoczesnych rozwiązań cyfrowych - Region 1 obejmujący województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie,",POMORSKIE Gdańsk Ludwika Waryńskiego 46a 80-242,Nazwa: FENIKS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Ludwika Waryńskiego<br>Grantobiorca Nr budynku: 46a<br>Grantobiorca Kod pocztowy: 80-242<br>Wartość wsparcia: 386889.07,80-242,Gdańsk,46a,Ludwika Waryńskiego,POMORSKIE,FENIKS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,386889.07,Gdansk
Zwiększenie odporności i dywersyfikacja działalności Hotton Hotel Sp. z o.o. poprzez utworzenie w województwie pomorskim (Region 1) Multimedialnego Centrum Szkoleniowo – Konferencyjno – Wystawienniczego z zastosowaniem technologii cyfrowych i rozwiązań w zakresie „zielonej transformacji” oraz poprawa kompetencji pracowników w zakresie obsługi nowej grupy klientów.,POMORSKIE Gdynia św. Piotra 8 81-347,Nazwa: HOTTON HOTEL Spółka z ograniczoną odpowiedzialnością<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: św. Piotra<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 81-347<br>Wartość wsparcia: 539892,81-347,Gdynia,8,św. Piotra,POMORSKIE,HOTTON HOTEL Spółka z ograniczoną odpowiedzialnością,539892.0,Gdynia
"Rozszerzenie działalności polegające na wprowadzeniu innowacyjnych produktów i usług w zakresie treningów personalnych elektrostymulacji bezprzewodowej (EMS), urządzeń cardio napędzanych siłą mięśni, zajęć w podczerwieni oraz zajęć na platformie online w regionie o numerze „1” województwo pomorskie",POMORSKIE Gdańsk 22 80-522,Nazwa: Bluefit Centrum Fitness i Szkoleń Beata Kęstowicz-Cieślik<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 22<br>Grantobiorca Kod pocztowy: 80-522<br>Wartość wsparcia: 103126.33,80-522,Gdańsk,22,,POMORSKIE,Bluefit Centrum Fitness i Szkoleń Beata Kęstowicz-Cieślik,103126.33,Gdansk
Zwiększenie odporności przedsiębiorstwa Patrycja Pawlak-Riahi BIGARRE na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Gdynia Polska 1 81-339,Nazwa: Patrycja Pawlak-Riahi BIGARRE<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Polska<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 81-339<br>Wartość wsparcia: 510476,81-339,Gdynia,1,Polska,POMORSKIE,Patrycja Pawlak-Riahi BIGARRE,510476.0,Gdynia
Zwiększenie odporności przedsiębiorstwa COMO POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Sopot Bohaterów Monte Cassino 63 81-767,Nazwa: COMO POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Sopot<br>Grantobiorca Ulica: Bohaterów Monte Cassino<br>Grantobiorca Nr budynku: 63<br>Grantobiorca Kod pocztowy: 81-767<br>Wartość wsparcia: 536544.09,81-767,Sopot,63,Bohaterów Monte Cassino,POMORSKIE,COMO POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,536544.09,Sopot
Zwiększenie odporności przedsiębiorstwa TAPAS Artur Draniczarek na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Gdańsk Kazimierza Pułaskiego 15 81-760,Nazwa: TAPAS Artur Draniczarek<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Kazimierza Pułaskiego<br>Grantobiorca Nr budynku: 15<br>Grantobiorca Kod pocztowy: 81-760<br>Wartość wsparcia: 366292.98,81-760,Gdańsk,15,Kazimierza Pułaskiego,POMORSKIE,TAPAS Artur Draniczarek,366292.98,Sopot
Zwiększenie odporności przedsiębiorstwa Moroz ARTUR MOROZ na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: wojew?ództwo pomorskie),POMORSKIE Sopot al. Franciszka Mamuszki 14 81-718,Nazwa: Moroz ARTUR MOROZ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Sopot<br>Grantobiorca Ulica: al. Franciszka Mamuszki<br>Grantobiorca Nr budynku: 14<br>Grantobiorca Kod pocztowy: 81-718<br>Wartość wsparcia: 213531.33,81-718,Sopot,14,al. Franciszka Mamuszki,POMORSKIE,Moroz ARTUR MOROZ,213531.33,Sopot
Zwiększenie odporności przedsiębiorstwa SŁAWOMIR PEK : OŚRODEK WYPOCZYNKOWY BACHUS na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Kartuzy pl. plac Św. Brunona 7 83-300,Nazwa: SŁAWOMIR PEK : BIURO PODRÓŻY ERGOTRAVEL; OŚRODEK WYPOCZYNKOWY BACHUS; CAMPDOM DOMKI MOBILNE<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Kartuzy<br>Grantobiorca Ulica: pl. plac Św. Brunona<br>Grantobiorca Nr budynku: 7<br>Grantobiorca Kod pocztowy: 83-300<br>Wartość wsparcia: 539179.23,83-300,Kartuzy,7,pl. plac Św. Brunona,POMORSKIE,SŁAWOMIR PEK : BIURO PODRÓŻY ERGOTRAVEL; OŚRODEK WYPOCZYNKOWY BACHUS; CAMPDOM DOMKI MOBILNE,539179.23,Powiat kartuski
Zwiększenie odporności przedsiębiorstwa ABAK POKOJE GOŚCINNE MACIEJ MACUR na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Gdańsk Ludwika Beethovena 8 80-171,Nazwa: ABAK POKOJE GOŚCINNE MACIEJ MACUR<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Ludwika Beethovena<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 80-171<br>Wartość wsparcia: 500222.27,80-171,Gdańsk,8,Ludwika Beethovena,POMORSKIE,ABAK POKOJE GOŚCINNE MACIEJ MACUR,500222.27,Gdansk
Zwiększenie odporności przedsiębiorstwa FOOD TRUCK KAROL KIETLIŃSKI na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Sopot Grunwaldzka 25 81-758,Nazwa: FOOD TRUCK KAROL KIETLIŃSKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Sopot<br>Grantobiorca Ulica: Grunwaldzka<br>Grantobiorca Nr budynku: 25<br>Grantobiorca Kod pocztowy: 81-758<br>Wartość wsparcia: 490900.19,81-758,Sopot,25,Grunwaldzka,POMORSKIE,FOOD TRUCK KAROL KIETLIŃSKI,490900.19,Sopot
Zwiększenie odporności przedsiębiorstwa Original Burger CO Ewa Frazer na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Gdańsk Długa 47 80-831,Nazwa: ORIGINAL BURGER CO EWA FRAZER<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Długa<br>Grantobiorca Nr budynku: 47<br>Grantobiorca Kod pocztowy: 80-831<br>Wartość wsparcia: 284978.93,80-831,Gdańsk,47,Długa,POMORSKIE,ORIGINAL BURGER CO EWA FRAZER,284978.93,Gdansk
Zwiększenie odporności przedsiębiorstwa PERSONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie,POMORSKIE Gdańsk al. Aleja Grunwaldzka 415 80-309,Nazwa: PERSONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: al. Aleja Grunwaldzka<br>Grantobiorca Nr budynku: 415<br>Grantobiorca Kod pocztowy: 80-309<br>Wartość wsparcia: 420795.05,80-309,Gdańsk,415,al. Aleja Grunwaldzka,POMORSKIE,PERSONAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,420795.05,Gdansk
"Inwestycja na terenie województwa pomorskiego Region 1 w zwiększenie odporności przedsiębiorstwa z rozszerzeniem działalności gospodarczej o nowe usługi w studio treningu personalnego Forma poprzez adaptację pomieszczenia pod nowe przedsięwzięcie oraz dodanie nowych usług: 1. modelowania sylwetki za pomocą urządzenia EMBODY, 2. rozszerzenie działalności o usługę treningu EMS w parach 3. zajęcia cardio w grupie jako osobne zajęcia oraz jako połączenie innowacyjnego treningu na nowym sprzęcie",POMORSKIE Słupsk Tadeusza Sygietyńskiego 7 76-200,Nazwa: FORMA PAULINA MUCHOCKA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Słupsk<br>Grantobiorca Ulica: Tadeusza Sygietyńskiego<br>Grantobiorca Nr budynku: 7<br>Grantobiorca Kod pocztowy: 76-200<br>Wartość wsparcia: 209604.88,76-200,Słupsk,7,Tadeusza Sygietyńskiego,POMORSKIE,FORMA PAULINA MUCHOCKA,209604.88,Powiat koszalinski
"Zwiększenie odporności przedsiębiorstwa ZSPX SABINA BRZOSKOWSKA, RAFAŁ BRZOSKOWSKI SPÓŁKA CYWILNA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie)",POMORSKIE Gdańsk Juliusza Słowackiego 21 80-257,"Nazwa: ZSPX SABINA BRZOSKOWSKA, RAFAŁ BRZOSKOWSKI SPÓŁKA CYWILNA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Juliusza Słowackiego<br>Grantobiorca Nr budynku: 21<br>Grantobiorca Kod pocztowy: 80-257<br>Wartość wsparcia: 538663.73",80-257,Gdańsk,21,Juliusza Słowackiego,POMORSKIE,"ZSPX SABINA BRZOSKOWSKA, RAFAŁ BRZOSKOWSKI SPÓŁKA CYWILNA",538663.73,Gdansk
Zwiększenie odporności i konkurencyjności firmy Biuro Turystyki Aktywnej Kompas Spółka z ograniczoną odpowiedzialnością na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności: REGION 1 - województwo pomorskie,POMORSKIE Gdańsk Asesora 72 80-119,Nazwa: BIURO TURYSTYKI AKTYWNEJ KOMPAS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Asesora<br>Grantobiorca Nr budynku: 72<br>Grantobiorca Kod pocztowy: 80-119<br>Wartość wsparcia: 499634.39,80-119,Gdańsk,72,Asesora,POMORSKIE,BIURO TURYSTYKI AKTYWNEJ KOMPAS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,499634.39,Gdansk
Projekt rozwoju i modernizacji restauracji Dworki: nowe oblicze tradycji,POMORSKIE Bojano Gryfa Pomorskiego 19 84-207,"Nazwa: Restauracja Dworki w Bojanie, Klub dziecięcy i Klub dziecięcy BIS Agnieszka Hołda<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Bojano<br>Grantobiorca Ulica: Gryfa Pomorskiego<br>Grantobiorca Nr budynku: 19<br>Grantobiorca Kod pocztowy: 84-207<br>Wartość wsparcia: 468403.1",84-207,Bojano,19,Gryfa Pomorskiego,POMORSKIE,"Restauracja Dworki w Bojanie, Klub dziecięcy i Klub dziecięcy BIS Agnieszka Hołda",468403.1,Powiat wejherowski
zwiększenie odporności przedsiębiorstwa MK Gastro Marcin Kołowski na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności,POMORSKIE Gdynia al. Zwycięstwa 245 81-540,Nazwa: MK Gastro Marcin Kozłowski<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: al. Zwycięstwa<br>Grantobiorca Nr budynku: 245<br>Grantobiorca Kod pocztowy: 81-540<br>Wartość wsparcia: 477397.8,81-540,Gdynia,245,al. Zwycięstwa,POMORSKIE,MK Gastro Marcin Kozłowski,477397.8,Gdynia
Zwiększenie odporności przedsiębiorstwa Kompleksowe Usługi Gastronomiczne ADRIAN MARCIŃSKI na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności,POMORSKIE Gdańsk Marynarki Polskiej 163 80-868,Nazwa: Kompleksowe Usługi Gastronomiczne Adrian Marciński<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Marynarki Polskiej<br>Grantobiorca Nr budynku: 163<br>Grantobiorca Kod pocztowy: 80-868<br>Wartość wsparcia: 488455.47,80-868,Gdańsk,163,Marynarki Polskiej,POMORSKIE,Kompleksowe Usługi Gastronomiczne Adrian Marciński,488455.47,Gdansk
Zwiększenie odporności przedsiębiorstwa STARA GRUSZA Adam Nierzwicki na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Lipy 18 83-430,Nazwa: STARA GRUSZA Adam Nierzwicki <br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Lipy<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 18<br>Grantobiorca Kod pocztowy: 83-430<br>Wartość wsparcia: 295458.98,83-430,Lipy,18,,POMORSKIE,STARA GRUSZA Adam Nierzwicki ,295458.98,Powiat koscierski
"Zwiększenie odporności przedsiębiorstwa Krzysztof Kwiecień na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności w Gdańsku ( region 1: kujawsko-pomorskie, pomorskie, zachodniopomorskie",POMORSKIE Gdańsk Piwna 14 80-831,Nazwa: Krzysztof Kwiecień<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Piwna<br>Grantobiorca Nr budynku: 14<br>Grantobiorca Kod pocztowy: 80-831<br>Wartość wsparcia: 222738.39,80-831,Gdańsk,14,Piwna,POMORSKIE,Krzysztof Kwiecień,222738.39,Gdansk
"Zakup wyposażenia służącego organizacji eventów oraz powiązanych usług informatycznych, szkoleniowych i doradczych pozwalających na rozszerzenie i dywersyfikację profilu działalności firmy JOYTRIP.PL Sp. z o. o. z siedzibą w Gdańsku (województwo pomorskie), wraz ze zwiększeniem odporności firmy na przyszłe kryzysy oraz zmniejszeniem wpływu przedsiębiorstwa na klimat i środowisko zgodnie z założeniami Europejskiego Zielonego Ładu.",POMORSKIE Gdańsk Stefana Kisielewskiego 4d 80-275,Nazwa: JOYTRIP.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Stefana Kisielewskiego<br>Grantobiorca Nr budynku: 4d<br>Grantobiorca Kod pocztowy: 80-275<br>Wartość wsparcia: 442561.44,80-275,Gdańsk,4d,Stefana Kisielewskiego,POMORSKIE,JOYTRIP.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,442561.44,Gdansk
Zwiększenie odporności przedsiębiorstwa Zakład Przetwórstwa Rybnego Bryza Jacek Pociask na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności,POMORSKIE Ustka Marynarki Polskiej 59 76-270,Nazwa: Zakład Przetwórstwa Rybnego Bryza Jacek Pociask<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Ustka<br>Grantobiorca Ulica: Marynarki Polskiej<br>Grantobiorca Nr budynku: 59<br>Grantobiorca Kod pocztowy: 76-270<br>Wartość wsparcia: 539645.65,76-270,Ustka,59,Marynarki Polskiej,POMORSKIE,Zakład Przetwórstwa Rybnego Bryza Jacek Pociask,539645.65,Powiat koszalinski
Rozwój działalności przedsiębiorstwa Dariusz Markiewicz poprzez realizację inwestycji MŚP w województwie pomorskim,POMORSKIE Gdańsk Ogarna 27 80-826,Nazwa: Dariusz Markiewicz<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Ogarna<br>Grantobiorca Nr budynku: 27<br>Grantobiorca Kod pocztowy: 80-826<br>Wartość wsparcia: 521370,80-826,Gdańsk,27,Ogarna,POMORSKIE,Dariusz Markiewicz,521370.0,Gdansk
"Poszerzenie katalogu usług firmy KATARZYNKA Katarzyna Sompolska o usługę wynajmu domku pływającego na wodzie, zlokalizowanego w Gdańsku, region: Pomorze",,Nazwa: KATARZYNKA Katarzyna Sompolska<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Boleścin<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: .<br>Grantobiorca Kod pocztowy: 58-100<br>Wartość wsparcia: 504000,58-100,Boleścin,.,,POMORSKIE,KATARZYNKA Katarzyna Sompolska,504000.0,Walbrzych County
"Inwestycja polegająca na budowie całorocznego, ekologicznego domku wypoczynkowego „Cooze Wood”, umożliwiającego rozszerzenie działalności o nową usługę zakwaterowania dla turystów indywidualnych, w celu zwiększenia odporności na kryzysy firmy Kozi Gród Sp. z o.o.",POMORSKIE Pomlewo Leśników 3 83-047,Nazwa: KOZI GRÓD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Pomlewo<br>Grantobiorca Ulica: Leśników<br>Grantobiorca Nr budynku: 3<br>Grantobiorca Kod pocztowy: 83-047<br>Wartość wsparcia: 539779.76,83-047,Pomlewo,3,Leśników,POMORSKIE,KOZI GRÓD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,539779.76,Gdansk County
