name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia
"Inwestycja w rozszerzenie działalności polegająca na utworzeniu strefy SPA, wykonaniu instalacji OZE, zakupie robota sprzątającego oraz wykonaniu szkolenia wrazz audytem dot. rozpoznawalności marki w mediach społecznościowych na tereniehotelu Magnus Resort w Bystrej na obszarze Regionu 4 obejmującego województwa łódzkie, opolskie, śląskie",ŚLĄSKIE Bystra Juliana Fałata 222 43-360,Nazwa: MAGNUS ROYAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Bystra<br>Grantobiorca Ulica: Juliana Fałata<br>Grantobiorca Nr budynku: 222<br>Grantobiorca Kod pocztowy: 43-360<br>Wartość wsparcia: 537300,43-360,Bystra,222,Juliana Fałata,ŚLĄSKIE,MAGNUS ROYAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,537300
"Rozszerzenie działalności Restauracji ""Nowy Świat"" o nowe produkty i usługi",ŚLĄSKIE Bielsko-Biała Łukowa 7 43-300,Nazwa: F.H.U. Anna Bielenin<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Bielsko-Biała<br>Grantobiorca Ulica: Łukowa<br>Grantobiorca Nr budynku: 7<br>Grantobiorca Kod pocztowy: 43-300<br>Wartość wsparcia: 217703.97,43-300,Bielsko-Biała,7,Łukowa,ŚLĄSKIE,F.H.U. Anna Bielenin,217703.97
Dywersyfikacja działalności restauracyjnej i wdrożenie nowego produktu w Restauracji Ondraszkowa Izba.,ŚLĄSKIE Wisła 1 Maja 56 43-460,Nazwa: MIGAŁA EWA FIRMA ONDRASZEK<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Wisła<br>Grantobiorca Ulica: 1 Maja<br>Grantobiorca Nr budynku: 56<br>Grantobiorca Kod pocztowy: 43-460<br>Wartość wsparcia: 422826.55,43-460,Wisła,56,1 Maja,ŚLĄSKIE,MIGAŁA EWA FIRMA ONDRASZEK,422826.55
Rozwój Kompleksu Góralskiego SPA-Jaworowa Osada: Inwestycja w Wellness i Turystykę Zdrowotną w Brennej w Beskidzie Śląskim,ŚLĄSKIE Ustroń Jelenica 17 43-450,Nazwa: ANNA PASTERNY INWESTYCJE<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Ustroń<br>Grantobiorca Ulica: Jelenica<br>Grantobiorca Nr budynku: 17<br>Grantobiorca Kod pocztowy: 43-450<br>Wartość wsparcia: 499054.1,43-450,Ustroń,17,Jelenica,ŚLĄSKIE,ANNA PASTERNY INWESTYCJE,499054.1
"Dywersyfikacja działalności firmy Taurus Extreme Seweryn Drobisz poprzez wprowadzenie nowych usług - wypożyczalni rowerów szosowych oraz specjalistycznych treningów kolarskich w regionie 4, w województwie śląskim.",ŚLĄSKIE Ruda Śląska Piernikarczyka 2 41-711,Nazwa: TAURUS EXTREME SEWERYN DROBISZ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Ruda Śląska<br>Grantobiorca Ulica: Piernikarczyka<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 41-711<br>Wartość wsparcia: 262872,41-711,Ruda Śląska,2,Piernikarczyka,ŚLĄSKIE,TAURUS EXTREME SEWERYN DROBISZ,262872
„Rozszerzenie działalności prowadzonej przez „Robert Sklorz PARTY KAJAKI” w regionie opolskim o nowe usługi w celu ograniczenia skutków kryzysu wywołanego przez COVID-19”.,OPOLSKIE Staniszcze Małe Granica 6a 47-113,Nazwa: Robert Sklorz PARTY KAJAKI<br>Miejsce Realizacji Województwo: OPOLSKIE<br>Grantobiorca Miejscowość: Staniszcze Małe<br>Grantobiorca Ulica: Granica<br>Grantobiorca Nr budynku: 6a<br>Grantobiorca Kod pocztowy: 47-113<br>Wartość wsparcia: 477000,47-113,Staniszcze Małe,6a,Granica,OPOLSKIE,Robert Sklorz PARTY KAJAKI,477000
"""Lunch na patio"" w Bombon Cafe - wprowadzenie usługi lunchowej z opcją dowozu. Region 4 - woj. śląskie",ŚLĄSKIE Wisła 1 Maja 64 43-460,Nazwa: Sandra Juroszek<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Wisła<br>Grantobiorca Ulica: 1 Maja<br>Grantobiorca Nr budynku: 64<br>Grantobiorca Kod pocztowy: 43-460<br>Wartość wsparcia: 227678,43-460,Wisła,64,1 Maja,ŚLĄSKIE,Sandra Juroszek,227678
"""Rozszerzenie działalności S.C. BEATA ZDEBEL, ARKADIUSZ ZDEBEL, DACJUSZZDEBEL poprzez wdrożenie usługi serwowania posiłków na wynos oraz usługi profesjonalnej organizacji eventów - konferencji/szkoleń online wraz z udostępnieniem platformy do sprzedaży i rezerwacji terminów"". Region 4, województwo śląskie.",ŚLĄSKIE Piekary Śląskie Stara 1 41-940,"Nazwa: S.C. Beata Zdebel, Arkadiusz Zdebel, Dacjusz Zdebel<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Piekary Śląskie<br>Grantobiorca Ulica: Stara<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 41-940<br>Wartość wsparcia: 402270",41-940,Piekary Śląskie,1,Stara,ŚLĄSKIE,"S.C. Beata Zdebel, Arkadiusz Zdebel, Dacjusz Zdebel",402270
Rozszerzenie usług Karczmy Pod Ochodzitą znajdującej się w Koniakowie na terenie woj. śląskiego o organizację imprez plenerowych oraz wypożyczalnię sprzętu cateringowego,ŚLĄSKIE Koniaków 205 43-474,Nazwa: Krzysztof Bolik<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Koniaków<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 205<br>Grantobiorca Kod pocztowy: 43-474<br>Wartość wsparcia: 413898.39,43-474,Koniaków,205,,ŚLĄSKIE,Krzysztof Bolik,413898.39
"Rozszerzenie działalności firmy o usługę sprzedaży dań z makaronu w mobilnej przyczepie gastronomicznej pozwalającej na obsługę klientów w atrakcyjnych lokalizacjach w województwie opolskim, w szczególności w gminie Brzeg.",OPOLSKIE Brzeg Stefana Żeromskiego 13 49-305,Nazwa: Dawid Bronowicki<br>Miejsce Realizacji Województwo: OPOLSKIE<br>Grantobiorca Miejscowość: Brzeg<br>Grantobiorca Ulica: Stefana Żeromskiego<br>Grantobiorca Nr budynku: 13<br>Grantobiorca Kod pocztowy: 49-305<br>Wartość wsparcia: 99261.88,49-305,Brzeg,13,Stefana Żeromskiego,OPOLSKIE,Dawid Bronowicki,99261.88
Rozszerzenie oferty firmy o wynajem sprzętu rekreacyjnego oraz organizację imprez plenerowych w regionie nr 4 województwie śląskim,ŚLĄSKIE Wisła Branców 2 43-460,"Nazwa: U FOJTA SC DARIUSZ KONDERLA,MAREK CIEŚLAR<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Wisła<br>Grantobiorca Ulica: Branców<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 43-460<br>Wartość wsparcia: 390716.49",43-460,Wisła,2,Branców,ŚLĄSKIE,"U FOJTA SC DARIUSZ KONDERLA,MAREK CIEŚLAR",390716.49
"Wprowadzenie usługi organizacji targów, wystaw i kongresów za pośrednictwemlub z użyciem przesyłania strumieniowego wraz z fizycznym i mobilnym studiemdo realizacji nagrań",ŚLĄSKIE Częstochowa al. Aleja Najświętszej Maryi Panny 24 42-202,Nazwa: JAROSŁAW KRYKWIŃSKI Agencja Promocji Eksportu<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Częstochowa<br>Grantobiorca Ulica: al. Aleja Najświętszej Maryi Panny<br>Grantobiorca Nr budynku: 24<br>Grantobiorca Kod pocztowy: 42-202<br>Wartość wsparcia: 539329.04,42-202,Częstochowa,24,al. Aleja Najświętszej Maryi Panny,ŚLĄSKIE,JAROSŁAW KRYKWIŃSKI Agencja Promocji Eksportu,539329.04
"Dywersyfikacja działalności Sala Przyjęć Okolicznościowych „DAGA” Dagmara Jasińska o nowe usługi w regionie 4 obejmującym województwa łódzkie, opolskie i śląskie poprzez zakup środków trwałych i wartości niematerialnych i prawnych.",ŚLĄSKIE Czarny Las Częstochowska 262 42-233,"Nazwa: Sala Przyjęć Okolicznościowych ""DAGA"" Dagmara Jasińska<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Czarny Las<br>Grantobiorca Ulica: Częstochowska<br>Grantobiorca Nr budynku: 262<br>Grantobiorca Kod pocztowy: 42-233<br>Wartość wsparcia: 304649.82",42-233,Czarny Las,262,Częstochowska,ŚLĄSKIE,"Sala Przyjęć Okolicznościowych ""DAGA"" Dagmara Jasińska",304649.82
"""Śniadania i Cukiernicze Popisy z Wyspą Łakoci"". Region 4 woj. śląskie.",ŚLĄSKIE Gliwice Krupnicza 12 44-100,Nazwa: Wyspa Łakoci Jarosław Marut<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Gliwice<br>Grantobiorca Ulica: Krupnicza<br>Grantobiorca Nr budynku: 12<br>Grantobiorca Kod pocztowy: 44-100<br>Wartość wsparcia: 97565,44-100,Gliwice,12,Krupnicza,ŚLĄSKIE,Wyspa Łakoci Jarosław Marut,97565
Dywersyfikacja i poszerzenie działalności restauracji w województwie śląskim poprzez inwestycję w przygotowanie obiektu do najmu krótkoterminowego jako szansę na uniezależnienie się od jednego profilu działalności.,ŚLĄSKIE Katowice Mikołaja Kopernika 9 40-064,Nazwa: PPUH LAZUR MOLENDA MARCIN<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Katowice<br>Grantobiorca Ulica: Mikołaja Kopernika<br>Grantobiorca Nr budynku: 9<br>Grantobiorca Kod pocztowy: 40-064<br>Wartość wsparcia: 413910.72,40-064,Katowice,9,Mikołaja Kopernika,ŚLĄSKIE,PPUH LAZUR MOLENDA MARCIN,413910.72
Dywersyfikacja działalności Spółki w kierunku działalności restauracyjnej w celu zwiększenia odporności na gospodarcze sytuacje kryzysowe w województwie śląskim.,ŚLĄSKIE Czechowice-Dziedzice Legionów 244 43-502,"Nazwa: STOŁÓWKA MAŁGORZATA SPÓŁKA CYWILNA KATARZYNA GÓRA-PŁOSKONKA, JAROSŁAW PŁOSKONKA<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Czechowice-Dziedzice<br>Grantobiorca Ulica: Legionów<br>Grantobiorca Nr budynku: 244<br>Grantobiorca Kod pocztowy: 43-502<br>Wartość wsparcia: 414370.2",43-502,Czechowice-Dziedzice,244,Legionów,ŚLĄSKIE,"STOŁÓWKA MAŁGORZATA SPÓŁKA CYWILNA KATARZYNA GÓRA-PŁOSKONKA, JAROSŁAW PŁOSKONKA",414370.2
Dywersyfikacja działalności Spółki w kierunku usług poprawy kondycji fizycznej świadczonych w nowopowstałej strefie saun w województwie śląskim,ŚLĄSKIE Szczyrk Beskidzka 40 43-370,"Nazwa: ""GLOBAL"" Spółka z ograniczoną odpowiedzialnością<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Szczyrk<br>Grantobiorca Ulica: Beskidzka<br>Grantobiorca Nr budynku: 40<br>Grantobiorca Kod pocztowy: 43-370<br>Wartość wsparcia: 416492.16",43-370,Szczyrk,40,Beskidzka,ŚLĄSKIE,"""GLOBAL"" Spółka z ograniczoną odpowiedzialnością",416492.16
Rozszerzenie usług w przedsiębiorstwie Zapiecek Teresa Ewa Wączek o organizację imprez plenerowych w województwie opolskim.,OPOLSKIE Mirowszczyzna 62 46-325,Nazwa: ZAPIECEK TERESA EWA WĄCZEK<br>Miejsce Realizacji Województwo: OPOLSKIE<br>Grantobiorca Miejscowość: Mirowszczyzna<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 62<br>Grantobiorca Kod pocztowy: 46-325<br>Wartość wsparcia: 509480.61,46-325,Mirowszczyzna,62,,OPOLSKIE,ZAPIECEK TERESA EWA WĄCZEK,509480.61
Rozszerzenie działalności Hotelu Ambasador Centrum poprzez budowę saunarium z uwzględnieniem oddziaływania na środowisko naturalne związane z zastosowaniem systemu wysokosoprawnej mikrokogeneracji. Region łódzki.,ŁÓDZKIE Łódź Kosynierów Gdyńskich 8 93-320,Nazwa: CEGAL Artur Gawlik Marek Gawlik Spółka komandytowa<br>Miejsce Realizacji Województwo: ŁÓDZKIE<br>Grantobiorca Miejscowość: Łódź<br>Grantobiorca Ulica: Kosynierów Gdyńskich<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 93-320<br>Wartość wsparcia: 473921,93-320,Łódź,8,Kosynierów Gdyńskich,ŁÓDZKIE,CEGAL Artur Gawlik Marek Gawlik Spółka komandytowa,473921
"Rozszerzenie profilu dotychczasowej działalności przedsiębiorstwa ZACISZERESTAURACJA Z TRADYCJAMI MAREK RYGUŁA z siedzibą w województwieśląskim, powiecie pszczyńskim, gminie Pszczyna, miejscowości Brzeźce (kod pocztowy: 43-200), przy ul. Ofiar Faszyzmu 4 (Region 4 obejmujący województwa łódzkie,opolskie i śląskie) poprzez inwestycje w bazę usługowo-produkcyjną, podniesieniekwalifikacji pracowników oraz usługę doradczą na rzecz Jego rozwoju",ŚLĄSKIE Brzeźce Ofiar Faszyzmu 4 43-200,Nazwa: ZACISZE RESTAURACJA Z TRADYCJAMI MAREK RYGUŁA<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Brzeźce<br>Grantobiorca Ulica: Ofiar Faszyzmu<br>Grantobiorca Nr budynku: 4<br>Grantobiorca Kod pocztowy: 43-200<br>Wartość wsparcia: 450000,43-200,Brzeźce,4,Ofiar Faszyzmu,ŚLĄSKIE,ZACISZE RESTAURACJA Z TRADYCJAMI MAREK RYGUŁA,450000
"Zakup wyposażenia gastronomicznego przez DIG Group Sp. z o. o w celu rozszerzenia i udoskonalenia oferty restauracji na terenie Regionu nr 4 obejmującego województwa: łódzkie, opolskie i śląskie",ŚLĄSKIE Wrocław Tęczowa 20 53-702,Nazwa: DIG GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Wrocław<br>Grantobiorca Ulica: Tęczowa<br>Grantobiorca Nr budynku: 20<br>Grantobiorca Kod pocztowy: 53-702<br>Wartość wsparcia: 412878.25,53-702,Wrocław,20,Tęczowa,ŚLĄSKIE,DIG GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,412878.25
Wejście w nowe obszary działalności drogą do wzrostu konkurencyjności firmy na terenie województwa śląskiego oraz promocji województwa śląskiego i wyrobów regionalnych,ŚLĄSKIE Rudy Rogera 13 47-430,"Nazwa: Rudolf Klimek, Przedsiębiorstwo Handlowo Usługowo Produkcyjne<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Rudy<br>Grantobiorca Ulica: Rogera<br>Grantobiorca Nr budynku: 13<br>Grantobiorca Kod pocztowy: 47-430<br>Wartość wsparcia: 539999.98",47-430,Rudy,13,Rogera,ŚLĄSKIE,"Rudolf Klimek, Przedsiębiorstwo Handlowo Usługowo Produkcyjne",539999.98
Rozszerzenie działalności Karczmy Rajcula w Paniówkach (woj. śląskie) związane z wprowadzeniem nowych usług dla klientów. - REGION 4.,ŚLĄSKIE Paniówki Gliwicka 2D 44-177,Nazwa: MAREK SZOŁTYSEK<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Paniówki<br>Grantobiorca Ulica: Gliwicka<br>Grantobiorca Nr budynku: 2D<br>Grantobiorca Kod pocztowy: 44-177<br>Wartość wsparcia: 429350.61,44-177,Paniówki,2D,Gliwicka,ŚLĄSKIE,MAREK SZOŁTYSEK,429350.61
Nowy wymiar Hotelu Krokus w Wiśle - region śląski,ŚLĄSKIE Bielsko-Biała Kazimierza Pułaskiego 4A 43-300,Nazwa: Przedsiębiorstwo KOMPOL Spółka z ograniczoną odpowiedzialnością<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Bielsko-Biała<br>Grantobiorca Ulica: Kazimierza Pułaskiego<br>Grantobiorca Nr budynku: 4A<br>Grantobiorca Kod pocztowy: 43-300<br>Wartość wsparcia: 504000,43-300,Bielsko-Biała,4A,Kazimierza Pułaskiego,ŚLĄSKIE,Przedsiębiorstwo KOMPOL Spółka z ograniczoną odpowiedzialnością,504000
Zakup sprzętu umożliwiającego dywersyfikację działalności cateringowej na terenie województwa śląskiego poprzez wprowadzenie nowych produktów dotąd nieświadczonych,ŚLĄSKIE Chorzów Hajducka 84 41-506,Nazwa: CATERING ARTS EWELINA CZAJKA<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Chorzów<br>Grantobiorca Ulica: Hajducka<br>Grantobiorca Nr budynku: 84<br>Grantobiorca Kod pocztowy: 41-506<br>Wartość wsparcia: 473833.53,41-506,Chorzów,84,Hajducka,ŚLĄSKIE,CATERING ARTS EWELINA CZAJKA,473833.53
Rozszerzenie działalności firmy KRUMIX ŁUKASZ KRUTAK w województwie opolskim,OPOLSKIE Głuchołazy Aleja Jana Pawła II 38 48-340,Nazwa: KRUMIX ŁUKASZ KRUTAK<br>Miejsce Realizacji Województwo: OPOLSKIE<br>Grantobiorca Miejscowość: Głuchołazy<br>Grantobiorca Ulica: Aleja Jana Pawła II<br>Grantobiorca Nr budynku: 38<br>Grantobiorca Kod pocztowy: 48-340<br>Wartość wsparcia: 506613.24,48-340,Głuchołazy,38,Aleja Jana Pawła II,OPOLSKIE,KRUMIX ŁUKASZ KRUTAK,506613.24
"Rozszerzenie profilu dotychczasowej działalności przedsiębiorstwa ""AUSTERIA""FRYDRYCH-LANGER SPÓŁKA JAWNA z siedzibą w województwie śląskim, powiecie pszczyńskim, gminie Pszczyna, miejscowości Ćwiklice (kod pocztowy: 43-229), przy ul. Męczenników Oświęcimskich 115 (Region 4 obejmujący województwa łódzkie, opolskie i śląskie) poprzez inwestycje w bazę usługowo-produkcyjną, podniesienie kwalifikacji pracowników oraz usługę doradczą na rzecz Jego rozwoju.",ŚLĄSKIE Ćwiklice Męczenników Oświęcimskich 115 43-229,"Nazwa: ""AUSTERIA"" FRYDRYCH-LANGER SPÓŁKA JAWNA<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Ćwiklice<br>Grantobiorca Ulica: Męczenników Oświęcimskich<br>Grantobiorca Nr budynku: 115<br>Grantobiorca Kod pocztowy: 43-229<br>Wartość wsparcia: 254205.6",43-229,Ćwiklice,115,Męczenników Oświęcimskich,ŚLĄSKIE,"""AUSTERIA"" FRYDRYCH-LANGER SPÓŁKA JAWNA",254205.6
Zwiększenie odporności Resortu Strzelnica z województwa śląskiego na sytuacje kryzysowe poprzez rozszerzenie oferowanych usług.,ŚLĄSKIE Kochcice Lubliniecka 9 42-713,"Nazwa: ""STRZELNICA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Kochcice<br>Grantobiorca Ulica: Lubliniecka<br>Grantobiorca Nr budynku: 9<br>Grantobiorca Kod pocztowy: 42-713<br>Wartość wsparcia: 506489.7",42-713,Kochcice,9,Lubliniecka,ŚLĄSKIE,"""STRZELNICA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",506489.7
